Data downloaded and process from https://webgate.ec.europa.eu/europeaid/fsd/fsf/public/files//xmlFullSanctionsList_1_1/content?token=n002o8uc,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EU_ID,wholeName,Label,,,,,,,,,
1,Robert Gabriel Mugabe,EU,,,,,,,,,
380,Abou Ali,EU,,,,,,,,,
19,Abu Ali,EU,,,,,,,,,
17,Saddam Hussein Al-Tikriti,EU,,,,,,,,,
381,Qoussaï Saddam Hussein Al-Tikriti,EU,,,,,,,,,
26,Qusay Saddam Hussein Al-Tikriti,EU,,,,,,,,,
29,Uday Saddam Hussein Al-Tikriti,EU,,,,,,,,,
383,Oudaï Saddam Hussein Al-Tikriti,EU,,,,,,,,,
384,Abid Hamid Mahmoud Al-Tikriti,EU,,,,,,,,,
35,Abed Mahmoud Hammud,EU,,,,,,,,,
385,Abid Hamid Bid Hamid Mahmoud,EU,,,,,,,,,
34,Abdel Hamid Mahmoud,EU,,,,,,,,,
32,Abid Hamid Bid Hamid Mahmud,EU,,,,,,,,,
31,Abid Hamid Mahmud Al-Tikriti,EU,,,,,,,,,
386,Abed Mahmoud Hammoud,EU,,,,,,,,,
39,Ali Hassan Al-Majid Al-Tikriti,EU,,,,,,,,,
40,Al-Kimawi,EU,,,,,,,,,
52,Abu Brays,EU,,,,,,,,,
54,Abu Brays,EU,,,,,,,,,
55,Abu Ahmad,EU,,,,,,,,,
56,Abu Ahmad,EU,,,,,,,,,
244,Izzat Ibrahim Al-Duri,EU,,,,,,,,,
387,Izzat Ibrahim al-Douri,EU,,,,,,,,,
44,Izzat Ibrahim al-Duri,EU,,,,,,,,,
45,Abu Brays,EU,,,,,,,,,
46,Abu Ahmad,EU,,,,,,,,,
49,Izzat Ibrahim al-Duri,EU,,,,,,,,,
51,Izzat Ibrahim al-Duri,EU,,,,,,,,,
388,Hani Abdel-Latif Tilfah Al-Tikriti,EU,,,,,,,,,
59,Hani Abd-Al-Latif Tilfah Al-Tikriti,EU,,,,,,,,,
64,Aziz Salih al-Numan,EU,,,,,,,,,
389,Aziz Salih al-Nouman,EU,,,,,,,,,
390,Aziz Salih al-Numan,EU,,,,,,,,,
245,Aziz Salih Al-Numan,EU,,,,,,,,,
63,Aziz Salih al-Numan,EU,,,,,,,,,
65,Aziz Salih al-Numan,EU,,,,,,,,,
391,Mohammed Hamza Zoubaïdi,EU,,,,,,,,,
68,Muhammad Hamza Zubaidi,EU,,,,,,,,,
